ItemNumber,NestID,Length_mm,AssignedBeam_mm,BeamIndex,WasteOnBeam_mm,OldWaste_mm
UC32-0008-S,all,12775,13000,87,0,225
02798,all,219,13000,87,0,2
UC32-0007-S,all,12775,13000,88,0,225
04250,all,219,13000,88,0,5084
UC32-0006-S,all,12775,13000,89,0,225
02711,all,219,13000,89,0,2690
UC32-0005-S,all,12775,13000,90,0,225
04479,all,219,13000,90,0,
UC32-0004-P,all,12775,13000,91,0,225
01628,all,219,13000,91,0,2
UC32-0003-P,all,12775,13000,92,0,225
01629,all,219,13000,92,0,
UC32-0002-P,all,12775,13000,93,0,225
01627,all,219,13000,93,0,6404
UC32-0001-P,all,12775,13000,94,0,225
01180,all,219,13000,94,0,944
UC32-0000-P,all,12775,13000,95,0,225
02225,all,219,13000,95,0,3665
UF11-0054-S,all,12750,13000,96,0,250
02401,all,244,13000,96,0,
UF11-0027-S,all,12750,13000,97,0,250
03295,all,244,13000,97,0,
UF11-0009-P,all,12650,13000,98,0,350
03120,all,344,13000,98,0,
UF11-0008-P,all,12650,13000,99,0,350
03574,all,344,13000,99,0,
UF11-0007-P,all,12650,13000,100,0,350
02350,all,344,13000,100,0,80
UF11-0026-S,all,12600,13000,101,0,400
01841,all,394,13000,101,0,
UF11-0024-S,all,12600,13000,102,0,400
01840,all,394,13000,102,0,3142
UA13-0002-P,all,12407,13000,103,0,593
05662,all,587,13000,103,0,
UA13-0003-P,all,12402,13000,104,0,598
01710,all,592,13000,104,0,2045
00367,all,12400,13000,105,0,
05689,all,594,13000,105,0,
UA13-0004-P,all,12398,13000,106,0,602
04324,all,596,13000,106,0,97
UA13-X005-P,all,12394,13000,107,0,606
03322,all,600,13000,107,0,2099
UA13-0007-P,all,12382,13000,108,0,618
03603,all,612,13000,108,0,29
00018,all,12375,13000,109,0,4406
03724,all,619,13000,109,0,
00142,all,12375,13000,110,0,1000
00722,all,619,13000,110,0,2643
04454,all,12271,13000,111,0,729
03792,all,723,13000,111,0,4795
00076,all,12269,13000,112,0,502
02518,all,725,13000,112,0,248
00074,all,12269,13000,113,0,2658
04655,all,725,13000,113,0,3328
00073,all,12269,13000,114,0,2559
01312,all,725,13000,114,0,735
00072,all,12269,13000,115,0,4
02789,all,725,13000,115,0,765
00071,all,12269,13000,116,0,4
00669,all,725,13000,116,0,765
00070,all,12269,13000,117,0,4
00740,all,725,13000,117,0,
00069,all,12269,13000,118,0,4
00755,all,725,13000,118,0,33
00067,all,12269,13000,119,0,2
00759,all,725,13000,119,0,1650
00093,all,12269,13000,120,0,240
00745,all,725,13000,120,0,3
00091,all,12269,13000,121,0,25
00764,all,725,13000,121,0,4595
00090,all,12269,13000,122,0,11
00772,all,725,13000,122,0,
00089,all,12269,13000,123,0,2184
00775,all,725,13000,123,0,
00086,all,12269,13000,124,0,4744
03081,all,725,13000,124,0,
00130,all,12240,13000,125,0,6822
00386,all,754,13000,125,0,248
00034,all,12171,13000,126,0,2385
03351,all,823,13000,126,0,
00013,all,12171,13000,127,0,2467
00114,all,823,13000,127,0,505
00385,all,12151,13000,128,0,
03735,all,843,13000,128,0,5234
01478,all,12150,13000,129,0,9152
04345,all,844,13000,129,0,43
UC12-0004-P,all,11999,13000,130,0,1001
02100,all,995,13000,130,0,8
UC12-0003-P,all,11999,13000,131,0,1001
04008,all,995,13000,131,0,
UC12-0002-P,all,11999,13000,132,0,1001
01779,all,995,13000,132,0,3280
UC12-0009-S,all,11999,13000,133,0,1001
01007,all,995,13000,133,0,4989
UC12-0008-S,all,11999,13000,134,0,1001
00882,all,995,13000,134,0,1636
UC12-0007-S,all,11999,13000,135,0,1001
00884,all,995,13000,135,0,7
00030,all,11909,13000,136,0,2397
02789,all,1085,13000,136,0,765
UF11-0003-P,all,11830,13000,137,0,1170
00387,all,1164,13000,137,0,4156
UF11-0023-S,all,11830,13000,138,0,1170
00278,all,1164,13000,138,0,162
UF11-0022-S,all,11830,13000,139,0,1170
03110,all,1164,13000,139,0,
00133,all,11716,13000,140,0,2168
01313,all,1278,13000,140,0,4953
UA11-0025-S,all,11715,13000,141,0,1285
00120,all,1279,13000,141,0,
UA11-0014-P,all,11715,13000,142,0,1285
00732,all,1279,13000,142,0,3
UC31-0043-S,all,11708,13000,143,0,249
00199,all,1286,13000,143,0,
UC31-0016-P,all,11708,13000,144,0,445
00158,all,1286,13000,144,0,2
UC31-0017-P,all,11706,13000,145,0,1294
01985,all,1288,13000,145,0,2167
UC31-0044-S,all,11705,13000,146,0,1295
00006,all,1289,13000,146,0,2801
UC31-0039-S,all,11702,13000,147,0,1298
02116,all,1292,13000,147,0,12524
UC31-0038-S,all,11702,13000,148,0,1298
05649,all,1292,13000,148,0,
UC31-0012-P,all,11702,13000,149,0,1298
01511,all,1292,13000,149,0,2
UC31-0011-P,all,11702,13000,150,0,1298
01176,all,1292,13000,150,0,3375
UA11-0023-S,all,11701,13000,151,0,1299
01936,all,1293,13000,151,0,2126
UA11-0008-P,all,11700,13000,152,0,1300
03652,all,1294,13000,152,0,
UC31-0441-P,all,11699,13000,153,0,1301
03205,all,1295,13000,153,0,2497
UC31-0421-S,all,11699,13000,154,0,1301
00773,all,1295,13000,154,0,6488
UC31-0035-S,all,11698,13000,155,0,1302
00071,all,1296,13000,155,0,4
UC31-0008-P,all,11698,13000,156,0,1302
UB21-0866-P,all,1296,13000,156,0,7
UC31-0033-S,all,11696,13000,157,0,1304
01449,all,1298,13000,157,0,
UC31-0032-S,all,11696,13000,158,0,1304
00084,all,1298,13000,158,0,3916
UC31-0006-P,all,11696,13000,159,1,1304
00085,all,1297,13000,159,1,2203
UC31-0005-P,all,11696,13000,160,1,1304
05462,all,1297,13000,160,1,
UA11-0193-S,all,11661,13000,161,0,33
00854,all,1333,13000,161,0,3507
UA11-0012-P,all,11661,13000,162,0,1339
00464,all,1333,13000,162,0,129
UA11-0010-P,all,11638,13000,163,0,1362
02553,all,1356,13000,163,0,1505
UA13-0268-S,all,11630,13000,164,0,593
00114,all,1364,13000,164,0,505
UA13-0009-S,all,11625,13000,165,0,598
03429,all,1369,13000,165,0,532
UA13-0010-S,all,11621,13000,166,0,1379
00223,all,1373,13000,166,0,21
UA13-0142-S,all,11618,13000,167,0,1382
00837,all,1376,13000,167,0,8636
UA11-0017-S,all,11613,13000,168,0,1387
02626,all,1381,13000,168,0,11617
UA11-0016-S,all,11609,13000,169,0,1391
02299,all,1385,13000,169,0,
UA11-0005-P,all,11609,13000,170,0,1391
01214,all,1385,13000,170,0,
UA13-0282-S,all,11604,13000,171,0,1396
03059,all,1390,13000,171,0,1325
UA12-0013-P,all,11604,13000,172,0,1396
03055,all,1390,13000,172,0,1683
UA12-0009-P,all,11604,13000,173,0,1396
00498,all,1390,13000,173,0,4989
UA12-0015-P,all,11603,13000,174,0,1397
01461,all,1391,13000,174,0,
UA12-0019-P,all,11600,13000,175,0,1400
00458,all,1394,13000,175,0,129
UA12-0017-P,all,11597,13000,176,0,1403
00040,all,1397,13000,176,0,1733
UA12-0020-P,all,11596,13000,177,0,1404
00259,all,1398,13000,177,0,
UF11-0004-P,all,11580,13000,178,0,1420
03619,all,1414,13000,178,0,
UA11-0021-S,all,11529,13000,179,0,1471
00372,all,1465,13000,179,0,
UA11-0006-P,all,11504,13000,180,0,1496
00443,all,1490,13000,180,0,
00335,all,11472,13000,181,0,1582
00105,all,1522,13000,181,0,
UB11-0008-S,all,11393,13000,182,1,707
01751,all,1600,13000,182,1,
00194,all,11379,13000,183,0,12583
02134,all,1615,13000,183,0,
00333,all,11379,13000,184,0,506
00243,all,1615,13000,184,0,577
UD11-0012-P,all,11341,13000,185,0,1219
00233,all,1653,13000,185,0,149
UD11-0044-S,all,11341,13000,186,0,1659
01250,all,1653,13000,186,0,8805
UD11-0011-P,all,11340,13000,187,0,1660
00533,all,1654,13000,187,0,4453
UD11-0043-S,all,11340,13000,188,0,1660
02262,all,1654,13000,188,0,366
UD11-0033-S,all,11329,13000,189,0,179
02623,all,1665,13000,189,0,1924
UD11-0032-S,all,11329,13000,190,0,1174
01041,all,1665,13000,190,0,31
UD11-0001-P,all,11329,13000,191,0,1671
