ItemNumber,NestID,Length_mm,AssignedBeam_mm,BeamIndex,WasteOnBeam_mm,OldWaste_mm
02966,9718,1516,6000,13934,4481,2121
05387,9719,516,6000,13935,2961,2979
05481,9719,516,6000,13935,2961,2979
05482,9719,516,6000,13935,2961,2979
05376,9719,491,6000,13935,2961,2979
05378,9719,491,6000,13935,2961,2979
05380,9719,491,6000,13935,2961,2979
01893,9720,4919,6000,13936,630,82
05242,9720,221,6000,13936,630,82
05243,9720,221,6000,13936,630,82
05328,9721,201,6000,13937,5654,2176
05329,9721,139,6000,13937,5654,2176
03029,9722,7882,8000,13938,115,118
02044,9723,1549,6000,13939,693,
04533,9723,904,6000,13939,693,1650
05317,9723,748,6000,13939,693,
04503,9723,725,6000,13939,693,
05316,9723,492,6000,13939,693,
05319,9723,342,6000,13939,693,3312
05321,9723,293,6000,13939,693,
05313,9723,230,6000,13939,693,
01267,9724,1869,6000,13940,2832,13
04504,9724,842,6000,13940,2832,3180
00520,9724,448,6000,13940,2832,818
02980,9725,1861,6000,13941,3639,13
04859,9725,494,6000,13941,3639,67
02979,9726,1861,6000,13942,3685,25
00519,9726,448,6000,13942,3685,68
02987,9727,904,6000,13943,4348,1505
05315,9727,446,6000,13943,4348,731
05320,9727,293,6000,13943,4348,3312
02978,9728,7946,8000,13944,51,25
02977,9729,7946,8000,13945,51,13
01326,9730,3820,6000,13946,2177,385
03032,9730,3795,6000,13947,2202,385
03031,9731,3795,6000,13948,2202,2528
03039,9732,11255,13000,13949,1742,1745
03036,9733,8984,13000,13950,4013,9
03035,9734,7350,8000,13951,647,5650
05311,9735,1094,6000,13952,4057,8665
05318,9735,843,6000,13952,4057,8665
04238,9736,1720,6000,13953,2576,1066
03004,9736,1698,6000,13953,2576,1066
02999,9737,1692,6000,13954,946,955
03000,9737,1678,6000,13954,946,181
04237,9737,1675,6000,13954,946,955
03003,9738,1674,6000,13955,4323,4326
05386,9739,517,6000,13956,3450,444
05479,9739,516,6000,13956,3450,444
05480,9739,516,6000,13956,3450,444
05377,9739,493,6000,13956,3450,444
05385,9739,493,6000,13956,3450,444
05375,9740,491,6000,13957,5012,5018
05379,9740,491,6000,13957,5012,5018
05247,9741,221,6000,13958,5206,1734
05248,9741,221,6000,13958,5206,1734
05348,9741,201,6000,13958,5206,1734
05217,9741,139,6000,13958,5206,1734
03030,9742,7882,8000,13959,115,118
01702,9743,4919,6000,13960,1078,2045
05337,9744,746,6000,13961,1771,
04518,9744,695,6000,13961,1771,44
04526,9744,695,6000,13961,1771,
04505,9744,634,6000,13961,1771,3180
04506,9744,523,6000,13961,1771,3688
04858,9744,494,6000,13961,1771,
05341,9744,293,6000,13961,1771,
04532,9744,125,6000,13961,1771,
01327,9745,1869,6000,13962,3322,2191
04525,9745,803,6000,13962,3322,
04519,9746,803,6000,13963,3609,3867
05335,9746,492,6000,13963,3609,1
05220,9746,446,6000,13963,3609,1
05334,9746,342,6000,13963,3609,1
05338,9746,293,6000,13963,3609,1
02972,9747,1182,6000,13964,3675,5
